query_id Q0 docid rank TfIdf_score system_name
42 Q0 2641 1 0.917419 BM25
42 Q0 2318 2 0.638981 BM25
42 Q0 2231 3 0.580412 BM25
42 Q0 204 4 0.568004 BM25
42 Q0 633 5 0.550152 BM25
42 Q0 2019 6 0.549816 BM25
42 Q0 3048 7 0.534956 BM25
42 Q0 2545 8 0.522403 BM25
42 Q0 2344 9 0.518515 BM25
42 Q0 1653 10 0.503671 BM25
42 Q0 2215 11 0.488975 BM25
42 Q0 2984 12 0.476742 BM25
42 Q0 462 13 0.476451 BM25
42 Q0 2746 14 0.475553 BM25
42 Q0 2528 15 0.464003 BM25
42 Q0 2811 16 0.450832 BM25
42 Q0 2942 17 0.433447 BM25
42 Q0 2402 18 0.428494 BM25
42 Q0 1527 19 0.426028 BM25
42 Q0 1827 20 0.417897 BM25
42 Q0 2370 21 0.412202 BM25
42 Q0 2789 22 0.411812 BM25
42 Q0 2494 23 0.398974 BM25
42 Q0 2232 24 0.392925 BM25
42 Q0 961 25 0.388821 BM25
42 Q0 2529 26 0.383002 BM25
42 Q0 1938 27 0.374557 BM25
42 Q0 851 28 0.363676 BM25
42 Q0 2542 29 0.354952 BM25
42 Q0 3136 30 0.346188 BM25
42 Q0 1689 31 0.339550 BM25
42 Q0 2910 32 0.338679 BM25
42 Q0 1940 33 0.332697 BM25
42 Q0 2788 34 0.327655 BM25
42 Q0 1335 35 0.326278 BM25
42 Q0 3132 36 0.319722 BM25
42 Q0 3130 37 0.318592 BM25
42 Q0 2894 38 0.318291 BM25
42 Q0 2991 39 0.314685 BM25
42 Q0 827 40 0.309062 BM25
42 Q0 2107 41 0.307504 BM25
42 Q0 1771 42 0.300376 BM25
42 Q0 2054 43 0.294685 BM25
42 Q0 3089 44 0.284984 BM25
42 Q0 2437 45 0.280187 BM25
42 Q0 860 46 0.279856 BM25
42 Q0 3169 47 0.279830 BM25
42 Q0 2319 48 0.277897 BM25
42 Q0 2852 49 0.274808 BM25
42 Q0 1931 50 0.273116 BM25
42 Q0 1719 51 0.265316 BM25
42 Q0 268 52 0.260548 BM25
42 Q0 2882 53 0.259260 BM25
42 Q0 1792 54 0.258392 BM25
42 Q0 1908 55 0.253987 BM25
42 Q0 1620 56 0.252129 BM25
42 Q0 1785 57 0.251977 BM25
42 Q0 678 58 0.249274 BM25
42 Q0 3078 59 0.245681 BM25
42 Q0 2251 60 0.244977 BM25
42 Q0 1374 61 0.244967 BM25
42 Q0 1726 62 0.244170 BM25
42 Q0 2902 63 0.243236 BM25
42 Q0 2553 64 0.240346 BM25
42 Q0 2310 65 0.239754 BM25
42 Q0 535 66 0.238221 BM25
42 Q0 1435 67 0.236555 BM25
42 Q0 601 68 0.231145 BM25
42 Q0 1050 69 0.229449 BM25
42 Q0 893 70 0.228639 BM25
42 Q0 2575 71 0.228611 BM25
42 Q0 2268 72 0.225586 BM25
42 Q0 2502 73 0.224895 BM25
42 Q0 2980 74 0.223508 BM25
42 Q0 1870 75 0.223398 BM25
42 Q0 2669 76 0.219197 BM25
42 Q0 1177 77 0.218799 BM25
42 Q0 1173 78 0.218180 BM25
42 Q0 2990 79 0.217808 BM25
42 Q0 2375 80 0.216329 BM25
42 Q0 3149 81 0.215917 BM25
42 Q0 2903 82 0.215411 BM25
42 Q0 2401 83 0.213995 BM25
42 Q0 175 84 0.213781 BM25
42 Q0 1430 85 0.213660 BM25
42 Q0 2255 86 0.213400 BM25
42 Q0 2512 87 0.213108 BM25
42 Q0 2617 88 0.213108 BM25
42 Q0 3135 89 0.212550 BM25
42 Q0 3119 90 0.212119 BM25
42 Q0 58 91 0.211996 BM25
42 Q0 2504 92 0.209186 BM25
42 Q0 2829 93 0.204254 BM25
42 Q0 1995 94 0.202569 BM25
42 Q0 2332 95 0.202569 BM25
42 Q0 1798 96 0.202569 BM25
42 Q0 2720 97 0.201485 BM25
42 Q0 2561 98 0.200826 BM25
42 Q0 2109 99 0.199574 BM25
42 Q0 2258 100 0.198824 BM25
