query_id Q0 docid rank TfIdf_score system_name
1 Q0 3048 1 0.677744 BM25_Stopping
1 Q0 2380 2 0.525821 BM25_Stopping
1 Q0 2740 3 0.520933 BM25_Stopping
1 Q0 2379 4 0.483626 BM25_Stopping
1 Q0 2685 5 0.479145 BM25_Stopping
1 Q0 3068 6 0.472410 BM25_Stopping
1 Q0 2629 7 0.469896 BM25_Stopping
1 Q0 2319 8 0.429155 BM25_Stopping
1 Q0 1753 9 0.422771 BM25_Stopping
1 Q0 2371 10 0.409666 BM25_Stopping
1 Q0 1519 11 0.406939 BM25_Stopping
1 Q0 1168 12 0.393784 BM25_Stopping
1 Q0 1680 13 0.381282 BM25_Stopping
1 Q0 1591 14 0.380808 BM25_Stopping
1 Q0 2621 15 0.372153 BM25_Stopping
1 Q0 1161 16 0.361303 BM25_Stopping
1 Q0 2219 17 0.346441 BM25_Stopping
1 Q0 1755 18 0.342036 BM25_Stopping
1 Q0 2358 19 0.337610 BM25_Stopping
1 Q0 704 20 0.337024 BM25_Stopping
1 Q0 1735 21 0.333563 BM25_Stopping
1 Q0 1173 22 0.326473 BM25_Stopping
1 Q0 1827 23 0.322106 BM25_Stopping
1 Q0 69 24 0.320990 BM25_Stopping
1 Q0 1163 25 0.318557 BM25_Stopping
1 Q0 887 26 0.317069 BM25_Stopping
1 Q0 1440 27 0.313677 BM25_Stopping
1 Q0 2917 28 0.307528 BM25_Stopping
1 Q0 1461 29 0.297393 BM25_Stopping
1 Q0 1752 30 0.295764 BM25_Stopping
1 Q0 252 31 0.293135 BM25_Stopping
1 Q0 1605 32 0.292150 BM25_Stopping
1 Q0 1642 33 0.291335 BM25_Stopping
1 Q0 1542 34 0.288864 BM25_Stopping
1 Q0 999 35 0.288069 BM25_Stopping
1 Q0 1410 36 0.287349 BM25_Stopping
1 Q0 2868 37 0.286348 BM25_Stopping
1 Q0 118 38 0.282330 BM25_Stopping
1 Q0 1304 39 0.280632 BM25_Stopping
1 Q0 1069 40 0.279395 BM25_Stopping
1 Q0 1506 41 0.278841 BM25_Stopping
1 Q0 1033 42 0.278511 BM25_Stopping
1 Q0 1106 43 0.277942 BM25_Stopping
1 Q0 148 44 0.277942 BM25_Stopping
1 Q0 135 45 0.277942 BM25_Stopping
1 Q0 2303 46 0.274722 BM25_Stopping
1 Q0 1749 47 0.274449 BM25_Stopping
1 Q0 50 48 0.273351 BM25_Stopping
1 Q0 234 49 0.273351 BM25_Stopping
1 Q0 1938 50 0.271425 BM25_Stopping
1 Q0 2357 51 0.270667 BM25_Stopping
